,Word,Coefficient
23023,raped,-0.3457877523008111
31214,worldwide,-0.3465535782293522
4439,boy,-0.34876232138600394
27957,taliban,-0.34878472426383983
29689,university,-0.3527793854980057
23764,reports,-0.35458258950593685
6999,copyright,-0.35597088517687264
19660,nothing,-0.3746907989267141
27875,system,-0.37732932064921304
11922,games,-0.3784751452867606
23145,real,-0.37926936792052646
7298,criminal,-0.38497255682460807
26352,society,-0.38570911062699587
28185,tell,-0.38809570586150716
15404,join,-0.3898720307449069
13792,hours,-0.3955589918265992
18822,my,-0.4034604417245152
28771,total,-0.40750070324566745
7754,de,-0.41447979890758363
26630,speech,-0.41497263764675724
27299,students,-0.42444053684858485
8478,did,-0.42707882083627624
6683,congo,-0.43192495117910296
12818,hacking,-0.44406889572452257
7139,country,-0.4485705838746713
16949,low,-0.4631162111615199
3651,begin,-0.47045425699665006
25433,sex,-0.4945551583082965
24754,sanctions,-0.5497246235891671
24542,run,-0.5877942641988811
